praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
121.0,77.7,3.55,1.0,14.5,6.61,19.3,661.0,26.2,42.6,14.3
63.2,27.6,10.4,21.1,35.9,7.17,45.7,1358.0,5.73,49.1,142.0
63.8,30.8,4.91,1.02,11.9,84.3,150.0,453.0,37.5,69.8,42.6
77.0,33.1,5.19,4.07,16.7,13.0,32.5,441.0,25.3,50.5,22.9
9.14,8.66,5.88,8.2,21.1,37.9,76.4,685.0,23.1,34.9,17.3
51.4,20.0,6.79,1.01,11.9,10.0,29.4,410.0,21.3,33.1,20.2
73.0,25.3,14.9,4.66,48.3,4.7,22.1,478.0,27.9,43.7,7.77
93.9,34.9,5.52,1.89,5.23,45.3,141.0,922.0,24.8,53.8,30.0
49.1,25.3,6.92,1.14,14.3,12.3,37.9,784.0,29.7,75.0,34.6
43.7,18.6,2.84,1.01,14.3,24.4,57.3,890.0,6.26,2.46,3.72
55.7,33.4,1.0,6.67,7.43,20.4,40.0,610.0,30.0,46.1,10.7
62.1,23.1,3.52,2.79,39.2,11.3,15.7,400.0,2.79,34.9,66.7
51.9,27.9,17.8,83.5,47.4,32.2,106.0,1382.0,14.5,27.1,13.7
30.0,7.64,8.28,5.52,18.9,22.5,32.2,322.0,22.5,42.9,24.6
9.39,26.9,13.8,2.46,16.3,15.5,26.9,237.0,11.4,20.4,18.8
38.2,16.1,14.6,1.54,23.9,29.7,48.3,302.0,19.6,58.8,29.7
66.7,27.6,1.41,1.01,28.1,20.5,34.9,233.0,7.23,47.0,161.0
38.2,19.3,10.5,2.79,16.7,16.7,31.3,717.0,12.9,33.7,9.56
33.7,13.3,4.14,1.0,17.2,18.9,37.5,375.0,1.0,66.7,13.5
15.1,17.2,6.61,1.93,16.4,26.4,44.1,281.0,3.19,17.6,50.9
60.4,22.9,9.06,1.01,2.55,21.7,41.4,233.0,13.3,38.2,10.9
31.9,12.9,6.32,3.92,6.26,53.3,102.0,906.0,32.2,63.8,107.0
76.4,41.4,5.88,5.14,12.9,62.1,117.0,445.0,12.7,23.7,3.85
50.5,24.1,3.89,5.23,26.4,41.8,102.0,777.0,9.73,30.2,12.4
55.2,18.8,6.04,5.99,13.9,29.2,60.4,445.0,13.5,30.0,6.79
66.7,20.0,11.5,4.14,10.0,5.47,21.3,422.0,11.0,35.9,82.8
42.2,32.8,2.27,3.28,24.6,42.6,124.0,1252.0,36.2,75.7,107.0
38.2,19.8,14.9,1.0,5.78,4.57,38.2,573.0,20.9,52.3,17.0
66.1,18.8,1.0,1.68,15.5,12.0,17.0,418.0,11.5,29.2,7.64
56.2,20.9,7.43,1.0,18.9,10.9,27.1,449.0,19.5,30.5,9.65
175.0,99.1,7.99,6.61,2.5,37.2,66.1,552.0,19.6,29.7,28.1
17.5,30.5,13.2,3.28,20.5,13.9,20.2,271.0,8.43,25.0,88.2
82.0,43.3,1.86,1.0,13.2,19.8,54.7,2167.0,11.2,17.9,8.74
52.3,9.39,1.6,4.66,10.5,12.1,43.7,474.0,17.0,29.2,11.7
17.9,16.8,9.65,8.06,14.3,19.3,31.6,710.0,23.3,47.4,20.0
44.1,17.6,3.65,1.0,24.1,18.4,57.8,835.0,30.2,46.6,8.58
66.1,23.1,3.08,1.23,22.7,28.4,55.2,982.0,6.73,36.5,81.3
18.1,18.9,9.31,1.75,10.1,21.5,37.9,255.0,5.57,12.7,5.0
78.4,20.5,2.94,3.11,27.9,14.2,28.9,496.0,8.98,27.6,82.8
7.04,19.5,9.14,1.06,13.1,13.3,30.2,710.0,28.1,44.5,11.0
71.0,26.4,3.19,2.81,1.47,28.1,47.0,346.0,24.8,41.4,33.4
17.2,23.5,4.03,1.41,23.9,19.1,34.0,267.0,5.94,15.8,86.6
87.4,30.5,10.3,1.57,18.6,26.7,40.0,334.0,33.1,73.0,34.3
35.2,21.1,14.5,1.11,6.61,11.3,30.5,922.0,12.6,37.9,6.85
74.3,25.5,2.92,1.01,15.3,4.07,35.5,487.0,7.37,27.6,58.3
45.7,19.6,6.44,5.83,11.8,3.75,23.1,588.0,18.4,43.3,75.7
56.2,16.4,8.58,4.49,5.0,17.0,127.0,982.0,15.4,30.2,12.9
56.7,32.2,1.01,1.0,1.75,3.68,14.2,449.0,11.8,32.5,6.85
33.4,55.2,5.38,4.37,10.2,23.5,47.8,316.0,21.5,46.1,9.56
79.9,53.3,10.3,1.19,12.7,33.7,56.7,231.0,24.1,49.1,17.2
86.6,58.8,5.42,2.94,12.4,18.9,33.1,478.0,18.3,35.2,7.1
42.2,21.7,13.1,14.5,10.2,34.0,67.3,331.0,28.9,55.7,19.1
47.8,29.7,11.4,6.85,11.9,18.1,29.7,259.0,7.77,21.5,5.19
3.28,7.57,6.04,4.07,11.5,30.0,86.6,1065.0,19.1,44.1,17.8
29.4,8.43,7.91,1.43,14.6,5.62,23.9,644.0,17.8,32.8,16.8
40.3,22.9,1.45,1.01,5.28,25.0,37.5,355.0,33.1,63.8,33.7
82.0,89.0,2.46,1.01,11.8,14.5,33.1,610.0,16.1,32.2,19.8
41.4,28.6,6.92,2.37,4.96,30.8,61.5,638.0,11.4,23.3,5.52
10.1,26.4,2.81,1.0,16.5,23.1,50.9,557.0,35.5,77.7,38.2
73.0,31.9,5.0,1.0,10.4,22.9,46.1,300.0,5.05,25.9,71.0
55.2,76.4,8.13,2.86,16.1,8.98,26.2,514.0,25.3,48.3,11.4
54.2,16.4,12.2,1.12,8.98,11.5,39.2,375.0,23.9,35.5,15.5
56.7,18.8,5.47,1.86,9.06,9.06,20.9,552.0,1.0,33.1,79.9
36.2,44.5,33.7,147.0,66.1,18.3,28.9,188.0,2.35,18.6,67.3
74.3,23.7,9.39,5.99,7.99,37.2,63.8,956.0,4.53,15.8,89.8
21.7,36.8,4.07,1.0,23.1,34.9,62.6,379.0,33.4,71.7,18.3
88.2,42.9,11.4,167.0,41.8,20.2,40.0,322.0,13.1,31.1,9.65
66.1,19.3,10.8,1.0,16.7,13.9,38.2,255.0,16.1,30.2,11.2
67.9,32.8,2.17,1.01,7.04,9.82,36.2,615.0,26.9,40.3,9.14
37.2,15.3,18.9,23.1,19.1,15.8,33.4,284.0,27.6,32.2,13.5
73.0,41.4,2.94,2.48,5.14,51.9,101.0,890.0,27.1,62.6,18.8
64.9,43.3,6.1,1.0,28.4,10.0,22.9,491.0,12.2,25.9,6.61
35.5,14.5,4.96,5.57,5.19,6.92,41.8,65.5,22.3,54.2,35.9
10.4,9.82,5.94,1.0,16.7,28.1,49.6,331.0,6.26,24.4,10.5
85.1,20.5,3.02,1.07,17.0,7.99,23.1,316.0,49.1,68.5,16.0
63.8,34.3,3.34,1.0,14.3,15.0,63.8,931.0,1.0,20.0,67.9
3.62,2.15,2.46,3.65,10.5,38.2,93.1,2054.0,13.7,16.4,9.56
39.6,20.4,4.91,1.01,8.43,13.6,26.2,136.0,3.49,12.6,62.1
43.7,12.5,3.62,2.69,6.73,6.1,28.1,583.0,30.5,49.1,15.8
61.0,28.9,10.3,1.01,20.7,111.0,184.0,491.0,12.5,37.2,7.1
23.3,27.4,9.06,1.01,6.92,25.0,77.7,478.0,39.2,109.0,26.2
64.4,15.1,3.49,2.19,1.96,28.4,90.6,1860.0,23.7,39.6,23.5
34.0,14.7,2.48,2.64,16.1,44.1,85.8,1114.0,1.86,19.5,25.7
72.3,50.9,2.92,2.84,13.7,31.6,62.6,474.0,16.5,30.0,4.78
63.8,21.7,7.77,1.58,21.5,14.5,28.1,382.0,14.1,33.1,19.6
76.4,18.6,6.44,1.47,21.3,47.4,119.0,2393.0,2.64,17.5,62.6
191.0,67.9,1.0,1.37,1.93,43.3,63.2,552.0,10.1,34.6,12.0
30.0,16.0,10.3,7.57,2.23,28.4,54.2,791.0,8.2,16.5,9.82
61.5,23.1,1.46,1.13,1.04,11.8,30.8,547.0,18.8,36.2,13.7
23.7,22.5,6.15,2.44,13.7,5.52,38.2,552.0,37.5,86.6,58.8
90.6,36.5,4.74,1.01,19.6,23.3,30.0,271.0,26.9,40.7,16.3
27.4,26.9,8.2,2.62,8.51,18.9,37.2,246.0,36.8,67.9,34.9
59.4,32.8,7.17,7.23,21.5,9.56,29.4,246.0,56.7,108.0,64.9
1.0,7.5,17.8,4.74,12.4,6.67,32.5,552.0,5.09,32.2,57.3
16.1,17.9,1.83,1.01,10.3,53.3,94.7,542.0,17.6,42.2,16.1
55.7,31.6,8.06,2.69,16.5,9.31,28.1,1009.0,10.9,31.1,13.7
34.6,15.4,1.24,4.14,16.5,18.1,30.8,241.0,12.5,21.3,12.6
57.3,33.4,4.87,1.01,10.5,10.4,47.0,1407.0,45.3,50.9,21.7
57.8,22.9,4.57,1.6,32.8,6.15,14.1,255.0,8.2,42.2,264.0
67.9,36.5,14.5,5.14,10.3,45.7,80.6,898.0,18.4,34.3,22.3
78.4,42.6,8.28,1.5,20.2,49.6,97.3,784.0,13.7,19.1,9.06
31.3,16.7,10.2,5.09,20.4,22.5,48.3,828.0,6.21,24.1,94.7
7.5,22.3,7.99,4.1,13.7,15.4,21.7,211.0,40.3,76.4,27.1
38.5,23.9,1.37,2.21,4.29,33.7,61.0,730.0,10.0,17.9,6.44
77.7,75.0,8.43,1.14,30.5,25.0,55.7,316.0,42.9,61.0,14.1
46.1,39.2,6.38,1.14,14.3,3.02,19.5,828.0,3.02,16.5,83.5
82.0,26.9,3.31,8.13,23.5,8.13,23.7,610.0,20.4,33.7,22.1
85.1,24.1,5.88,2.29,18.8,11.5,22.5,437.0,5.47,42.9,90.6
80.6,45.7,2.31,3.46,19.6,29.2,27.9,334.0,11.0,24.4,18.1
82.8,25.7,7.3,1.86,10.7,9.14,23.3,349.0,20.7,44.9,23.7
60.4,35.5,6.92,1.39,13.7,20.2,67.9,1512.0,37.2,40.3,11.2
129.0,62.1,8.13,1.01,24.1,120.0,217.0,679.0,15.7,39.6,13.0
66.1,28.1,11.5,3.82,8.35,2.81,11.5,319.0,21.9,40.3,22.1
52.8,27.1,3.31,3.89,2.64,21.9,44.5,426.0,12.2,33.7,4.14
37.5,26.9,15.4,1.0,1.63,13.2,55.2,1382.0,26.2,47.8,31.6
57.8,34.3,4.87,1.95,14.6,16.8,32.8,289.0,13.2,23.9,22.1
129.0,51.4,2.07,4.41,9.22,25.5,33.4,227.0,1.78,39.6,8.51
30.2,20.5,3.13,8.74,3.59,12.3,27.4,349.0,22.3,43.3,5.0
72.3,20.9,3.59,1.01,24.6,78.4,138.0,1486.0,32.2,45.3,15.1
58.8,34.9,3.49,368.0,39.6,17.8,27.9,331.0,23.3,51.9,98.2
71.7,27.6,4.91,3.96,8.35,21.3,34.3,274.0,30.0,63.2,13.3
54.7,19.8,3.19,1.0,23.7,16.3,176.0,113.0,11.8,53.3,78.4
25.0,25.0,15.3,2.29,32.2,20.9,41.8,227.0,5.28,20.0,82.8
21.7,11.8,2.84,2.29,9.91,21.5,37.5,267.0,31.6,63.8,67.9
59.4,31.1,6.61,1.0,1.53,16.4,23.7,379.0,1.58,8.13,2.55
41.4,24.4,2.41,1.0,12.7,67.3,135.0,626.0,18.3,29.2,13.0
47.8,25.9,7.17,1.0,16.5,23.1,40.7,379.0,3.43,30.0,4.07
21.1,18.8,4.0,3.85,3.11,55.7,85.8,433.0,50.5,109.0,52.8
45.3,19.8,16.4,4.78,8.35,6.44,17.5,610.0,12.6,24.8,10.9
66.7,30.0,1.54,7.99,25.3,30.8,50.5,289.0,11.2,18.4,4.1
38.5,22.9,7.17,4.61,22.9,103.0,229.0,594.0,29.4,64.9,4.96
122.0,33.7,1.29,4.87,11.0,3.92,20.7,269.0,19.1,38.5,14.1
37.5,23.9,7.1,4.41,5.67,10.3,19.6,292.0,29.2,42.2,18.8
81.3,24.6,1.0,5.42,11.2,6.49,18.6,466.0,20.4,42.2,25.0
30.8,20.5,8.06,1.47,28.9,29.7,47.4,655.0,12.6,31.3,7.7
30.0,19.6,2.76,2.37,1.0,20.7,36.5,835.0,23.3,42.9,24.4
20.4,45.7,2.89,1.31,6.61,20.5,40.3,250.0,10.7,46.6,94.7
11.1,41.8,4.26,7.77,9.22,19.1,27.6,209.0,1.91,85.8,3.16
176.0,93.9,7.04,3.92,13.7,28.6,41.0,250.0,11.9,23.5,15.7
53.8,23.1,1.05,1.39,29.4,4.26,24.4,449.0,10.5,27.9,5.23
44.5,23.7,6.79,3.4,12.5,31.9,57.3,221.0,46.1,65.5,38.9
61.0,53.3,8.74,1.01,19.1,5.88,37.5,1334.0,20.2,36.8,9.91
66.1,19.5,1.75,1.0,17.0,3.11,5.33,188.0,18.9,38.9,12.9
59.9,31.9,1.0,1.01,20.9,24.6,41.4,239.0,17.0,28.6,13.6
50.5,29.7,5.09,3.19,11.1,25.7,60.4,426.0,2.25,5.09,79.1
69.8,22.3,14.2,2.64,16.3,37.2,102.0,2738.0,25.7,57.8,37.5
106.0,30.2,1.01,5.14,10.6,14.9,30.8,457.0,3.96,34.0,114.0
6.1,35.9,11.7,2.84,4.61,150.0,229.0,784.0,16.7,32.8,88.2
9.73,17.5,4.18,5.62,4.66,22.3,36.5,322.0,23.1,62.1,79.1
47.8,34.3,11.4,6.98,25.7,49.6,98.2,538.0,22.5,31.9,8.28
103.0,69.8,33.1,7.77,42.9,16.0,44.5,1114.0,25.3,43.7,12.7
74.3,38.5,3.11,1.01,12.4,15.4,34.0,538.0,30.2,64.4,23.3
72.3,18.9,5.94,5.67,2.44,9.31,23.7,557.0,46.1,77.7,32.8
11.9,49.6,8.35,3.08,8.2,29.2,202.0,191.0,13.9,37.5,10.4
31.9,12.9,1.98,1.01,3.75,47.4,103.0,1928.0,50.5,109.0,55.2
48.3,19.1,3.08,1.96,8.13,13.8,44.9,1134.0,22.1,41.8,6.92
75.0,27.1,2.46,1.01,17.3,38.9,92.2,770.0,21.9,35.5,21.9
74.3,26.4,7.7,7.3,1.58,10.6,25.7,400.0,8.43,18.4,6.61
58.3,27.9,8.43,1.01,4.66,22.9,54.7,346.0,14.9,24.6,6.26
49.1,23.1,1.83,1.7,15.0,47.0,104.0,2072.0,39.2,73.0,38.5
79.1,23.5,5.23,4.66,15.3,15.8,32.5,379.0,25.0,57.8,29.2
104.0,64.9,11.9,1.0,23.5,54.7,112.0,704.0,17.6,36.8,12.3
42.9,39.2,10.9,3.31,12.3,36.2,76.4,487.0,13.7,31.3,11.1
87.4,39.2,1.01,4.07,5.09,62.1,111.0,365.0,13.0,32.8,20.2
53.8,18.9,5.0,1.54,17.2,22.3,38.9,189.0,28.4,78.4,20.0
48.7,30.0,9.31,1.67,2.25,20.2,36.8,437.0,4.07,67.3,2.57
40.3,22.9,3.46,6.26,14.1,29.4,209.0,1554.0,27.9,53.8,23.9
82.0,42.2,4.0,5.33,9.06,7.99,18.4,385.0,14.7,13.0,7.17
35.9,14.7,9.39,11.8,45.7,22.5,36.5,221.0,2.62,23.9,68.5
38.5,20.2,16.4,8.43,22.3,27.6,49.6,250.0,20.5,49.1,17.3
53.8,27.4,3.05,1.68,24.8,23.3,44.9,359.0,26.4,60.4,42.2
56.2,19.8,9.91,4.87,6.73,26.7,41.0,221.0,28.4,40.0,9.73
51.9,12.5,4.29,1.18,7.84,13.9,28.4,284.0,22.1,55.7,15.4
57.3,23.7,9.56,1.83,9.47,17.6,49.6,717.0,22.1,40.3,12.1
110.0,65.5,8.35,1.01,20.4,18.1,33.1,396.0,35.9,66.1,19.3
61.0,41.0,3.96,3.92,19.8,27.6,44.5,355.0,28.9,69.2,34.9
70.4,24.6,1.0,4.53,42.9,79.1,155.0,2227.0,3.96,12.0,33.4
62.6,23.1,3.34,3.31,14.3,14.5,27.6,355.0,17.8,30.2,3.4
113.0,73.0,1.0,1.31,11.5,8.74,31.1,487.0,40.0,79.9,43.7
91.4,25.0,4.33,1.46,18.3,7.43,17.3,433.0,6.38,34.6,175.0
